Kong Yibo,47,Female,11311024,America,15038403217,Director
Steven Edwards,38,Male,12211522,America,15673757797,Supply Staff
Jiang Shengxiang,40,Male,12012116,America,15639234045,Supply Staff
Yang Penglong,48,Male,11210418,America,18690429590,Supply Staff
Al Evans,41,Male,11910017,America,15639548357,Supply Staff
Xu Shiyun,49,Female,11110325,America,13990824090,Supply Staff
Gene Jackson,41,Male,11911118,America,18658431890,Supply Staff
Tao Yibo,38,Female,12210416,America,13866742389,Supply Staff
Chen Yueqi,45,Male,11512800,America,15696096714,Supply Staff
Xu Zhuyu,44,Male,11610802,America,18903294883,Supply Staff
You Taian,47,Male,11310827,America,18936275779,Supply Staff
Hua Yizhen,48,Female,11210921,America,18687747201,Supply Staff
Sylvia Smith,38,Female,12210311,America,13808932915,Supply Staff
Jing Xiaotian,44,Female,11611905,America,18993374707,Supply Staff
Anita Hall,42,Female,11810107,America,15682226940,Supply Staff
Zou Linshan,39,Male,12111022,America,13809404711,Supply Staff
Audrey Evans,47,Female,11310324,America,13867209171,Supply Staff
Carl Roberts,45,Male,11512914,America,13959111644,Supply Staff
Christian White,44,Male,11611101,America,13957306066,Supply Staff
Shen Yangchen,46,Male,11410600,America,13830653355,Supply Staff
Jing Zhidie,39,Female,12110806,America,18928273520,Supply Staff
Zhou Yanbai,40,Female,12012818,America,13835332483,Supply Staff
Hua Cailing,43,Female,11710900,America,13836235059,Supply Staff
Rebecca Davies,46,Female,11410826,America,18695296614,Supply Staff
Shi Ningtao,40,Female,12011924,America,18962441154,Supply Staff
Chen Jiabin,46,Male,11410308,America,15052390956,Salesman
Zhou Qimei,46,Female,11411124,America,18932304528,Salesman
Dottie Walker,43,Female,11710029,America,18957621651,Salesman
Miriam Evans,47,Female,11311817,America,15609201594,Salesman
Alistair Smith,40,Male,12011919,America,18957760110,Salesman
Zhang Runyi,41,Male,11910127,America,18601703786,Salesman
Richard Edwards,43,Male,11710209,America,13815125118,Salesman
Corinna Smith,38,Female,12210120,America,18958346054,Salesman
Ronnie Jackson,39,Male,12110528,America,13870626048,Salesman
Patience Robinson,45,Female,11510409,America,18693605151,Salesman
You Ruoke,44,Male,11612314,America,13940007283,Salesman
Wei Ruichen,47,Male,11310514,America,13959351161,Salesman
Wang Qimei,49,Female,11111727,America,13860021464,Salesman
